Apelido,Resultado_Partida,Vies_X,Vies_Y,Jogo
smola,Derrotado,3,2,V
smola,Vencedor,-2,0,L
smola,Derrotado,0,0,L
zimas,Vencedor,0,0,R
smola,Derrotado,0,0,R
zeca_tatu,Vencedor,0,0,V
smola,Derrotado,0,0,V
smola,Empate,0,0,L
zeca_tatu,Empate,0,0,L
smola,Vencedor,0,0,V
zeca_tatu,Derrotado,0,0,V
zimas,Vencedor,0,0,V
smola,Derrotado,0,0,V
smola,Vencedor,0,0,V
zimas,Derrotado,0,0,V
smola,Empate,0,0,L
zimas,Empate,0,0,L
zimas,Vencedor,0,0,L
smola,Derrotado,0,0,L
zimas,Vencedor,0,0,V
smola,Derrotado,0,0,V
zimas,Vencedor,0,0,L
smola,Derrotado,0,0,L
smola,Vencedor,0,0,V
zeca_tatu,Derrotado,0,0,V
zimas,Vencedor,0,0,R
smola,Derrotado,0,0,R
zimas,Vencedor,0,0,V
smola,Derrotado,0,0,V
smola,Vencedor,0,0,V
zeca_tatu,Derrotado,0,0,V
zeca_tatu,Vencedor,0,0,V
smola,Derrotado,0,0,V
zeca_tatu,Vencedor,0,0,V
smola,Derrotado,0,0,V
hector,Vencedor,0,0,R
zimas,Derrotado,0,0,R
smola,Vencedor,0,0,R
zeca_tatu,Derrotado,0,0,R
smola,Vencedor,0,0,L
zeca_tatu,Derrotado,0,0,L
smola,Vencedor,0.000000,-1.000000,V
zimas,Derrotado,-0.500000,0.500000,V
zimas,Vencedor,3.000000,2.000000,L
smola,Derrotado,3.000000,2.000000,L
smola,Empate,0.000000,-0.200000,V
zeca_tatu,Empate,0.000000,0.250000,V
zimas,Vencedor,0.333333,-0.666667,V
smola,Derrotado,0.333333,-0.666667,V
zeca_tatu,Vencedor,-1.000000,0.000000,V
hector,Derrotado,0.500000,-1.000000,V
zimas,Vencedor,-2.000000,-1.500000,L
smola,Derrotado,3.000000,-2.000000,L
smola,Vencedor,-2.500000,-1.500000,L
zimas,Derrotado,2.500000,-2.000000,L
bongo,Vencedor,-0.893939,0.833333,R
zeca_tatu,Derrotado,1.033333,-0.800000,R
